"Word","Translation"
" - Account - "," - Account - "
" - Category - "," - Category - "
" - Create New - "," - Create New - "
" - default, use fields defined below - "," - default, use fields defined below - "
" - Group - "," - Group - "
" - No Customer -"," - No Customer -"
" - None - "," - None - "
" - Select - "," - Select - "
" - Unassigned - "," - Unassigned - "
" (%s days ago)"," (seit %s Tagen)"
" (%s days)"," (%s days)"
" (%s to %s)"," (%s to %s)"
" (in %s days)"," (in %s days)"
" starting from "," starting from "
" to %s"," to %s"
"- disabled -","- disabled -"
"- Select -","- Select -"
"----- (Please reply above this line) -----","----- (Bitte antworten Sie oberhalb dieser Linie) -----"
"(%s %s renewal)","(%s%s Erneuerung)"
"(%s Hours Over)","(%s Stunden Over)"
"(%s jobs)","(%s Jobs)"
"(%s out of %s tickets)","(%s von%s Tickets)"
"(%s records)","(%s records)"
"(%s%% completed)","(%s%% abgeschlossen)"
"(and %s)","(and %s)"
"(approval required)","(approval required)"
"(bulk actions)","Sammel-Aktionen"
"(cannot merge, invoice already has payment)","(cannot merge, invoice already has payment)"
"(default)","(Standard)"
"(double opt-in incomplete)","(double opt-in incomplete)"
"(edit in job: %s)","(edit in job: %s)"
"(group)","Gruppieren"
"(includes %s %s)","(includes %s %s)"
"(linked to job: %s)","(Verknüpft mit Job:%s)"
"(note: this user does not have login permissions yet - login will not work)","(Hinweis: Diese Benutzer nicht anmelden Berechtigungen noch - login funktioniert nicht)"
"(primary)","(primary)"
"(recheck envato purchases)","(Überprüfen Sie Envato Käufe)"
"(recurring on <a href=""%s"">%s</a>)","(Recurring auf <a href=""%s"">%s </a>)"
"(same as email address)","(Wie E-Mail-Adresse)"
"(this form can be edited from Settings > Templates)","(Dieses Formular kann von Einstellungen> Vorlagen bearbeitet werden)"
"(this may take a few moments)","(Dies kann einige Minuten dauern)"
"(this will schedule the next reminder)","(this will schedule the next reminder)"
"(today)","heu"
"(under different customer)","(Unter verschiedenen Kunden)"
"(will renew on %s)","(will renew on %s)"
"(you can create advanced template features from this folder)","(Sie können erweiterte Vorlage Funktionen aus diesem Ordner zu erstellen)"
"(You will have to apply the %s discount to this invoice again manually.)","(You will have to apply the %s discount to this invoice again manually.)"
"* ","* "
"* required fields","* required fields"
"&laquo; Hide message","&laquo; Hide message"
"&laquo; Prev","Zurück"
"&laquo; Prev Ticket","&laquo; Prev Ticket"
"%s (%s%%)","%s -%s"
"%s (from %s)","%s (from %s)"
"%s %s renewal","%s %s renewal"
"%s %s%s of %s %s","%s %s%s of %s %s"
"%s by %s","%s von%s"
"%s days","%s Tage"
"%s days ago","%s Tagen"
"%s due","%s durch"
"%s Hours / %s Tasks Remain","%s Stunden /%s Aufgaben bleiben"
"%s Hours Done","%s Stunden Geschehen"
"%s Hours Total","%s Stunden insgesamt"
"%s hrs <span class=""text_shrink"">%s</a> - <span class=""text_shrink"">%s</span>","%s Uhr <span class=""text_shrink"">%s </a> - <span class=""text_shrink"">%s </ span>"
"%s invoice%s: %s","%s Rechnung%s:%s"
"%s means ""string"" and is replaced with another value when displayed on the screen.","%s means ""string"" and is replaced with another value when displayed on the screen."
"%s months","%s Monat"
"%s of %s","%s von%s"
"%s of %s hours have been logged:","%s%s Stunden protokolliert wurden:"
"%s on %s","%s%s"
"%s Other Support Tickets","%s Andere Support Tickets"
"%s paid","%s bezahlt"
"%s people remain","%s people remain"
"%s products","%s products"
"%s Subscription","%s Subscription"
"%s tasks in %s","%s Aufgaben in%s"
"%s tickets changed to staff id %s","%s tickets changed to staff id %s"
"%s tickets marked as resolved","%s tickets marked as resolved"
"%s to %s","%s to %s"
"%s Totals:","%s Totals:"
"%s under customer %s","%s under customer %s"
"%s years","%s Jahr"
"%sCredit Note Details","%sCredit Hinweis Details"
"%sInvoice Details","%sInvoice Einzelheiten"
