"Word","Translation"
" (%s days ago)"," (%s days ago)"
" (%s days)"," (%s days)"
" (%s to %s)"," (%s to %s)"
" (in %s days)"," (in %s days)"
" - Account - "," - Account - "
" - Category - "," - Category - "
" - Create New - "," - Create New - "
" - default, use fields defined below - "," - default, use fields defined below - "
" - Group - "," - Group - "
" - No Customer -"," - No Customer -"
" - None - "," - None - "
" - Select - "," - Select - "
" - Unassigned - "," - Unassigned - "
" starting from "," starting from "
" to %s"," to %s"
"%s %s renewal","%s %s renewal"
"%s %s%s of %s %s","%s %s%s of %s %s"
"%s (%s%%)","%s (%s%%)"
"%s (from %s)","%s (from %s)"
"%s by %s","%s by %s"
"%s days","%s days"
"%s days ago","%s days ago"
"%s due","%s due"
"%s Hours / %s Tasks Remain","%s Hours / %s Tasks Remain"
"%s Hours Done","%s Hours Done"
"%s Hours Total","%s Hours Total"
"%s hrs <span class=""text_shrink"">%s</a> - <span class=""text_shrink"">%s</span>","%s hrs <span class=""text_shrink"">%s</a> - <span class=""text_shrink"">%s</span>"
"%s invoice%s: %s","%s invoice%s: %s"
"%s means ""string"" and is replaced with another value when displayed on the screen.","%s means ""string"" and is replaced with another value when displayed on the screen."
"%s months","%s months"
"%s of %s","%s of %s"
"%s of %s hours have been logged:","%s of %s hours have been logged:"
"%s on %s","%s on %s"
"%s Other Support Tickets","%s Other Support Tickets"
"%s paid","%s paid"
"%s people remain","%s people remain"
"%s products","%s products"
"%s Subscription","%s Subscription"
"%s tasks in %s","%s tasks in %s"
"%s tickets changed to staff id %s","%s tickets changed to staff id %s"
"%s tickets marked as resolved","%s tickets marked as resolved"
"%s to %s","%s to %s"
"%s Totals:","%s Totals:"
"%s under customer %s","%s under customer %s"
"%s years","%s years"
"%sCredit Note Details","%sCredit Note Details"
"%sInvoice Details","%sInvoice Details"
"&laquo; Hide message","&laquo; Hide message"
"&laquo; Prev","&laquo; Prev"
"&laquo; Prev Ticket","&laquo; Prev Ticket"
"(%s %s renewal)","(%s %s renewal)"
"(%s Hours Over)","(%s Hours Over)"
"(%s jobs)","(%s jobs)"
"(%s out of %s tickets)","(%s out of %s tickets)"
"(%s records)","(%s records)"
"(%s%% completed)","(%s%% completed)"
"(and %s)","(and %s)"
"(approval required)","(approval required)"
"(bulk actions)","(bulk actions)"
"(cannot merge, invoice already has payment)","(cannot merge, invoice already has payment)"
"(default)","(default)"
"(double opt-in incomplete)","(double opt-in incomplete)"
"(edit in job: %s)","(edit in job: %s)"
"(group)","(group)"
"(includes %s %s)","(includes %s %s)"
"(linked to job: %s)","(linked to job: %s)"
"(note: this user does not have login permissions yet - login will not work)","(note: this user does not have login permissions yet - login will not work)"
"(primary)","(primary)"
"(recheck envato purchases)","(recheck envato purchases)"
"(recurring on <a href=""%s"">%s</a>)","(recurring on <a href=""%s"">%s</a>)"
"(same as email address)","(same as email address)"
"(this form can be edited from Settings > Templates)","(this form can be edited from Settings > Templates)"
"(this may take a few moments)","(this may take a few moments)"
"(this will schedule the next reminder)","(this will schedule the next reminder)"
"(today)","(today)"
"(under different customer)","(under different customer)"
"(will renew on %s)","(will renew on %s)"
"(you can create advanced template features from this folder)","(you can create advanced template features from this folder)"
"(You will have to apply the %s discount to this invoice again manually.)","(You will have to apply the %s discount to this invoice again manually.)"
"* ","* "
"* required fields","* required fields"
"+ Add another","+ Add another"
"- disabled -","- disabled -"
"- Select -","- Select -"
"----- (Please reply above this line) -----","----- (Please reply above this line) -----"
"110 is normal, 995 is ssl","110 is normal, 995 is ssl"
"3. Describe the change you would like to make","3. Describe the change you would like to make"
"6000","6000"
